database;workloadName;phase;run;recordcount;operationcount;productsperorder;componentsperproduct;testparametercount;fieldlength;insertproportion;readproportion;scanproportion;updateproportion;onlynodes;index;overall time (ms);overall throughput (ops/sec);initialise average (ms);sys_load_avg min;sys_load_avg max;sys_load_avg average;sys_load_avg StdD;thread_count min;thread_count max;thread_count average;thread_count StdD;used_mem_mb min;used_mem_mb max;used_mem_mb average;used_mem_mb StdD;cleanup average;insert min (us);insert max (us);insert average (us);insert StdD (us);insertNode min (us);insertNode max (us);insertNode average (us);insertNode StdD (us);insertEdge min (us);insertEdge max (us);insertEdge average (us);insertEdge StdD (us);read min (us);read max (us);read average (us);read StdD (us);scan min (us);scan max (us);scan average (us);scan StdD (us);
orientdb;2.ResponsivenessNoIndexRead;run;2;1;10000;1;1;1;50;95;5;;0;false;;12238;817,1269815329302;1382912,0;2;2;2,0;0,000;3;7;5,333333333333333;0,002;17;104;49,333333333333336;0,039;95,0;33;272383;469,63034669067986;7,035;33;202367;391,147389431663;5,842;34;272383;528,4972027421007;7,811;47;437;130,34095634095635;0,075;;;;;
orientdb;2.ResponsivenessNoIndexRead;run;3;1;10000;1;1;1;50;95;5;;0;false;;10968;911,7432530999271;1236480,0;2;2;2,0;0,000;3;7;5,333333333333333;0,002;17;70;51,0;0,024;145,0;32;403711;419,74561008554707;6,981;32;403711;420,0379241516966;7,304;33;365311;419,52635726105115;6,728;46;3223;128,42827442827442;0,159;;;;;
sparksee;2.ResponsivenessNoIndexRead;load;1;1;10000;1;1;1;50;95;5;;0;false;;733;1,364256480218281;356224,0;1;1;1,0;0,000;2;3;2,5;0,001;10;14;12,0;0,002;313984,0;907;907;907,0;0,000;907;907;907,0;0,000;;;;;;;;;;;;;
sparksee;2.ResponsivenessNoIndexRead;load;2;1;10000;1;1;1;50;95;5;;0;false;;488;2,0491803278688523;261440,0;1;1;1,0;0,000;2;3;2,5;0,001;10;14;12,0;0,002;159424,0;966;966;966,0;0,000;966;966;966,0;0,000;;;;;;;;;;;;;
sparksee;2.ResponsivenessNoIndexRead;load;3;1;10000;1;1;1;50;95;5;;0;false;;485;2,0618556701030926;208064,0;1;1;1,0;0,000;2;3;2,5;0,001;10;14;12,0;0,002;216896,0;968;968;968,0;0,000;968;968;968,0;0,000;;;;;;;;;;;;;
sparksee;2.ResponsivenessNoIndexRead;run;1;1;10000;1;1;1;50;95;5;;0;false;;34548;289,452356142179;261440,0;1;2;1,2;0,000;2;3;2,8;0,000;12;66;42,0;0,019;355200,0;39;18495;1491,595632597929;1,791;39;18495;48,94285113982561;0,198;79;7459;2573,670475139863;1,690;46;4055;1005,5426195426195;0,846;;;;;
sparksee;2.ResponsivenessNoIndexRead;run;2;1;10000;1;1;1;50;95;5;;0;false;;34946;286,15578320837864;309120,0;1;1;1,0;0,000;2;3;2,8;0,000;12;66;41,6;0,020;596224,0;39;10135;1495,6847816298964;1,796;39;5207;47,3598067023847;0,055;83;10135;2582,0141044834922;1,701;51;4503;1013,1039501039501;0,863;;;;;
sparksee;2.ResponsivenessNoIndexRead;run;3;1;10000;1;1;1;50;95;5;;0;false;;34910;286,4508736751647;249280,0;1;1;1,0;0,000;2;3;2,8;0,000;12;65;41,0;0,019;556800,0;38;19391;1499,433543448897;1,799;38;921;46,64344994222082;0,014;83;19391;2589,1119691119693;1,702;47;4063;1013,7920997920997;0,856;;;;;
neo4j;3.ResponsivenessIndexScan;load;1;1;10000;1;1;1;50;95;0;5;0;false;true;3947;0,25335697998479856;2688000,0;1;1;1,0;0,000;3;3;3,0;0,000;12;32;22,0;0,010;871680,0;367616;367871;367744,0;0,000;367616;367871;367744,0;0,000;;;;;;;;;;;;;
neo4j;3.ResponsivenessIndexScan;load;2;1;10000;1;1;1;50;95;0;5;0;false;true;5742;0,17415534656913967;3830784,0;2;2;2,0;0,000;3;3;3,0;0,000;12;32;22,0;0,010;1297920,0;594432;594943;594688,0;0,000;594432;594943;594688,0;0,000;;;;;;;;;;;;;
