database;workloadName;phase;run;recordcount;operationcount;productsperorder;componentsperproduct;testparametercount;fieldlength;insertproportion;readproportion;scanproportion;updateproportion;onlynodes;index;overall time (ms);overall throughput (ops/sec);initialise average (ms);sys_load_avg min;sys_load_avg max;sys_load_avg average;sys_load_avg StdD;thread_count min;thread_count max;thread_count average;thread_count StdD;used_mem_mb min;used_mem_mb max;used_mem_mb average;used_mem_mb StdD;cleanup average;insert min (us);insert max (us);insert average (us);insert StdD (us);insertNode min (us);insertNode max (us);insertNode average (us);insertNode StdD (us);insertEdge min (us);insertEdge max (us);insertEdge average (us);insertEdge StdD (us);read min (us);read max (us);read average (us);read StdD (us);scan min (us);scan max (us);scan average (us);scan StdD (us)
sparksee;1.DifferenceEdgeIndex1000000Nodes;load;3;1;1000000;1;1;1;10;1;0;;0;TRUE;TRUE;731;1,367989056;337536;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;326528;975;975;975;0;975;975;975;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex1000000Nodes;run;1;1;1000000;1;1;1;10;1;0;;0;TRUE;TRUE;;;;;;;0;;;;0;;;;0,346;;;;;0,024;;;;0,024;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex1000000Nodes;run;2;1;1000000;1;1;1;10;1;0;;0;TRUE;TRUE;;;;;;;0;;;;0;;;;0,343;;;;;0,025;;;;0,025;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex1000000Nodes;run;3;1;1000000;1;1;1;10;1;0;;0;TRUE;TRUE;;;;;;;0;;;;0;;;;0,23;;;;;0,026;;;;0,026;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex100000Nodes;load;1;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;17835;0,056069526;1,78E+07;2;2;2;0;3;7;5,333333333;0,002;15;34;22,66666667;0,008;95;3644;3645;3645;0;3644;3645;3645;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex100000Nodes;load;2;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;17787;0,056220835;1,78E+07;2;2;2;0;3;7;5,333333333;0,002;15;34;22,66666667;0,008;78;3574;3575;3575;0;3574;3575;3575;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex100000Nodes;load;3;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;18257;0,054773512;1,82E+07;2;2;2;0;3;7;5,333333333;0,002;15;35;22,66666667;0,009;87;3778;3779;3779;0;3778;3779;3779;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex100000Nodes;run;1;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;32187;3106,844378;1273344;2;2;2;0;3;7;6;0,002;23;380;184,4;0,149;71;35;1647615;295,83046;8,694;35;1647615;295,83046;8,694;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex100000Nodes;run;2;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;42398;2358,601821;1261056;1;2;1,833333333;0;3;7;6,166666667;0,001;23;342;184,5;0,106;69;35;653311;397,25513;8,416;35;653311;397,25513;8,416;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex100000Nodes;run;3;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;26442;3781,862189;1277440;1;2;1,5;0,001;3;7;5,75;0,002;23;96;49,75;0,028;76;34;1296383;238,43016;7,065;34;1296383;238,43016;7,065;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex100000Nodes;load;1;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;1982;0,504540868;1444352;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;472704;947;947;947;0;947;947;947;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex100000Nodes;load;2;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;951;1,051524711;555776;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;325248;931;931;931;0;931;931;931;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex100000Nodes;load;3;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;724;1,38121547;372352;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;287616;1011;1011;1011;0;1011;1011;1011;0;;;;;;;;;;;;
