database;workloadName;phase;run;recordcount;operationcount;productsperorder;componentsperproduct;testparametercount;fieldlength;insertproportion;readproportion;scanproportion;updateproportion;onlynodes;index;overall time (ms);overall throughput (ops/sec);initialise average (ms);sys_load_avg min;sys_load_avg max;sys_load_avg average;sys_load_avg StdD;thread_count min;thread_count max;thread_count average;thread_count StdD;used_mem_mb min;used_mem_mb max;used_mem_mb average;used_mem_mb StdD;cleanup average;insert min (us);insert max (us);insert average (us);insert StdD (us);insertNode min (us);insertNode max (us);insertNode average (us);insertNode StdD (us);insertEdge min (us);insertEdge max (us);insertEdge average (us);insertEdge StdD (us);read min (us);read max (us);read average (us);read StdD (us);scan min (us);scan max (us);scan average (us);scan StdD (us)
apachejena;1.DifferenceEdgeNoIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;TRUE;;1022902;9,776107584;448128;1;2;1,086538462;0;2;3;2,990384615;0;14;78;47,875;0,016;74976;52768;902143;102154,72;59,289;52768;902143;102154,72;59,289;;;;;;;;;;;;
apachejena;1.DifferenceEdgeNoIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;TRUE;;1004622;9,953992646;443264;1;2;1,078431373;0;2;3;2,990196078;0;16;83;48,45098039;0,015;50800;54304;589311;100330,5568;54,186;54304;589311;100330,5568;54,186;;;;;;;;;;;;
apachejena;1.DifferenceEdgeNoIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;TRUE;;1061678;9,419051728;446080;1;2;1,111111111;0;2;3;2,990740741;0;16;78;48,37037037;0,016;51216;54080;904191;106035,7616;67,977;54080;904191;106035,7616;67,977;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex1000000Nodes;load;1;1;1000000;1;1;1;10;1;0;;0;TRUE;;14158;0,070631445;1,41E+07;1;1;1;0;3;7;5,333333333;0,002;15;35;25,66666667;0,008;120;3684;3685;3685;0;3684;3685;3685;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex1000000Nodes;load;2;1;1000000;1;1;1;10;1;0;;0;TRUE;;17611;0,056782693;1,76E+07;1;2;1,333333333;0;3;7;5,333333333;0,002;15;35;23,33333333;0,008;80;3608;3609;3609;0;3608;3609;3609;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex1000000Nodes;load;3;1;1000000;1;1;1;10;1;0;;0;TRUE;;17325;0,057720058;1,73E+07;2;2;2;0;3;7;5,333333333;0,002;15;35;24,33333333;0,008;78;3822;3823;3823;0;3822;3823;3823;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex1000000Nodes;run;1;1;1000000;1;1;1;10;1;0;;0;TRUE;;244744;4085,902004;1478144;1;2;1,5;0,001;3;7;6,807692308;0,001;70;1035;397,6538462;0,221;70;34;1690623;232,518431;8,139;34;1690623;232,518431;8,139;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex1000000Nodes;run;2;1;1000000;1;1;1;10;1;0;;0;TRUE;;247322;4043,311958;1468928;1;2;1,269230769;0;3;7;6,807692308;0,001;70;902;435,2692308;0,231;69;34;1246207;235,049884;7,943;34;1246207;235,049884;7,943;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex1000000Nodes;run;3;1;1000000;1;1;1;10;1;0;;0;TRUE;;250132;3997,889115;1463808;1;2;1,592592593;0;3;7;6,814814815;0,001;70;1004;401,6666667;0,229;65;34;1475583;237,880119;8,082;34;1475583;237,880119;8,082;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex1000000Nodes;load;1;1;1000000;1;1;1;10;1;0;;0;TRUE;;770;1,298701299;331136;2;2;2;0;2;3;2,5;0,001;10;14;12;0,002;374144;969;969;969;0;969;969;969;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex1000000Nodes;load;2;1;1000000;1;1;1;10;1;0;;0;TRUE;;571;1,751313485;255808;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;246336;986;986;986;0;986;986;986;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex1000000Nodes;load;3;1;1000000;1;1;1;10;1;0;;0;TRUE;;728;1,373626374;351872;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;312192;873;873;873;0;873;873;873;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex1000000Nodes;run;1;1;1000000;1;1;1;10;1;0;;0;TRUE;;;;;;;;0,001;;;;0;;;;0,343;;;;;0,027;;;;0,027;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex1000000Nodes;run;2;1;1000000;1;1;1;10;1;0;;0;TRUE;;;;;;;;0;;;;0;;;;0,233;;;;;0,026;;;;0,026;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex1000000Nodes;run;3;1;1000000;1;1;1;10;1;0;;0;TRUE;;;;;;;;0;;;;0;;;;0,208;;;;;0,107;;;;0,107;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex100000Nodes;load;1;1;100000;1;1;1;10;1;0;;0;TRUE;;16738;0,059744294;1,67E+07;1;2;1,333333333;0;3;7;5,333333333;0,002;15;36;24,66666667;0,009;74;3734;3735;3735;0;3734;3735;3735;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex100000Nodes;load;2;1;100000;1;1;1;10;1;0;;0;TRUE;;22421;0,044601044;2,24E+07;2;2;2;0;3;7;5,75;0,002;15;36;27;0,008;77;3596;3597;3597;0;3596;3597;3597;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex100000Nodes;load;3;1;100000;1;1;1;10;1;0;;0;TRUE;;17533;0,057035305;1,75E+07;2;2;2;0;3;7;5,333333333;0,002;15;35;24;0,008;79;3448;3449;3449;0;3448;3449;3449;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex100000Nodes;run;1;1;100000;1;1;1;10;1;0;;0;TRUE;;26720;3742,51497;1282560;1;2;1,25;0;3;7;5,75;0,002;23;358;170,25;0,126;71;35;1375231;241,1477;7,526;35;1375231;241,1477;7,526;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex100000Nodes;run;2;1;100000;1;1;1;10;1;0;;0;TRUE;;41088;2433,800623;1212928;2;2;2;0;3;7;6,166666667;0,001;23;313;171,5;0,089;69;36;884223;384,43716;8,048;36;884223;384,43716;8,048;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex100000Nodes;run;3;1;100000;1;1;1;10;1;0;;0;TRUE;;41987;2381,689571;1253888;2;2;2;0;3;7;6,166666667;0,001;23;315;149,3333333;0,116;70;34;505599;393,58939;8,083;34;505599;393,58939;8,083;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex100000Nodes;load;1;1;100000;1;1;1;10;1;0;;0;TRUE;;521;1,919385797;284544;2;2;2;0;2;3;2,5;0,001;10;15;12,5;0,003;173888;946;946;946;0;946;946;946;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex100000Nodes;load;2;1;100000;1;1;1;10;1;0;;0;TRUE;;788;1,269035533;396160;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;319616;947;947;947;0;947;947;947;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex100000Nodes;load;3;1;100000;1;1;1;10;1;0;;0;TRUE;;519;1,926782274;243520;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;212416;936;936;936;0;936;936;936;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex100000Nodes;run;1;1;100000;1;1;1;10;1;0;;0;TRUE;;6976;14334,86239;255680;1;2;1,5;0,001;2;3;2,5;0,001;18;376;197;0,179;724736;38;2521;47,06243;0,016;38;2521;47,06243;0,016;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex100000Nodes;run;2;1;100000;1;1;1;10;1;0;;0;TRUE;;6966;14355,44071;339072;1;1;1;0;2;3;2,5;0,001;19;247;133;0,114;557824;37;2829;47,30128;0,021;37;2829;47,30128;0,021;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex100000Nodes;run;3;1;100000;1;1;1;10;1;0;;0;TRUE;;7169;13948,94685;416640;1;1;1;0;2;3;2,5;0,001;18;247;132,5;0,115;716032;38;8087;47,22948;0,032;38;8087;47,22948;0,032;;;;;;;;;;;;
orientdb;5.ProbingNodeCountIndex10000000Nodes;load;1;1;10000000;1;1;1;10;1;0;;0;FALSE;TRUE;30410;0,03288392;3,04E+07;1;2;1,4;0;3;7;6;0,002;15;58;36;0,014;77;4070;4071;4071;0;4070;4071;4071;0;;;;;;;;;;;;
orientdb;5.ProbingNodeCountIndex10000000Nodes;load;2;1;10000000;1;1;1;10;1;0;;0;FALSE;TRUE;18917;0,052862505;1,89E+07;2;2;2;0;3;7;5,333333333;0,002;15;34;22;0,009;85;3610;3611;3611;0;3610;3611;3611;0;;;;;;;;;;;;
orientdb;5.ProbingNodeCountIndex10000000Nodes;load;3;1;10000000;1;1;1;10;1;0;;0;FALSE;TRUE;28006;0,035706634;2,77E+07;2;2;2;0;3;7;5,75;0,002;15;61;33,75;0,018;103;3750;3751;3751;0;3750;3751;3751;0;;;;;;;;;;;;
orientdb;5.ProbingNodeCountIndex10000000Nodes;run;1;1;10000000;1;1;1;10;1;0;;0;FALSE;TRUE;2893478;3456,048396;4511744;1;3;1,701030928;0;3;7;6,982817869;0;620;8767;4019,927835;2,088;73;31;6045695;112,3401981;6,241;31;6045695;93,7411169;5,797;33;5550079;126,2895105;6,553;;;;;;;;
orientdb;5.ProbingNodeCountIndex10000000Nodes;run;2;1;10000000;1;1;1;10;1;0;;0;FALSE;TRUE;3225710;3100,092693;3101696;1;3;1,716049383;0;3;7;6,984567901;0;656;9063;3958,391975;2,132;70;32;4976639;119,0999911;6,554;32;4976639;97,6143046;5,925;33;4139007;135,2142575;6,989;;;;;;;;
orientdb;5.ProbingNodeCountIndex10000000Nodes;run;3;1;10000000;1;1;1;10;1;0;;0;FALSE;TRUE;3198964;3126,012046;3177472;1;2;1,68847352;0;3;7;6,984423676;0;654;8983;4015,218069;2,128;80;32;6369279;118,5225993;6,652;32;5160959;98,9247997;6,076;34;6369279;133,2209505;7,053;;;;;;;;
neo4j;2.ProbingNodeCountIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;5080;0,196850394;3363840;1;1;1;0;3;3;3;0;12;33;22,5;0,011;1217024;479232;479487;479360;0;479232;479487;479360;0;;;;;;;;;;;;
neo4j;2.ProbingNodeCountIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;5476;0,182615047;3537920;2;2;2;0;3;3;3;0;11;34;22,5;0,012;1364480;553472;553983;553728;0;553472;553983;553728;0;;;;;;;;;;;;
neo4j;2.ProbingNodeCountIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;5394;0,185391175;3253248;2;2;2;0;3;3;3;0;11;33;22;0,011;1408512;709632;710143;709888;0;709632;710143;709888;0;;;;;;;;;;;;
neo4j;2.ProbingNodeCountIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;2700239;3,703375886;1891840;1;2;1,533088235;0;3;11;10,01470588;0,001;16;152;72,84558824;0,028;4017152;55488;619007;115408,0199;41,739;55488;584703;112929,4688;41,348;58176;619007;117267,1191;41,933;;;;;;;;
neo4j;2.ProbingNodeCountIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;2630522;3,801526845;1896960;1;2;1,675471698;0;3;11;9,99245283;0,001;15;149;72,50188679;0,027;3871744;55296;664063;112427,28;36,561;55296;491007;110243,3408;36,297;58528;664063;114065,3981;36,671;;;;;;;;
neo4j;2.ProbingNodeCountIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;2691700;3,715124271;2143232;1;2;1,723247232;0;3;12;10,01845018;0,001;16;146;73,40590406;0,027;3818496;55840;666111;115040,1399;38,647;55840;666111;112436,888;38,605;57472;640511;116992,7741;38,564;;;;;;;;
orientdb;2.ProbingNodeCountIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;17268;0,057910586;1,72E+07;2;2;2;0;3;7;5,333333333;0,002;15;35;24;0,008;93;3414;3415;3415;0;3414;3415;3415;0;;;;;;;;;;;;
orientdb;2.ProbingNodeCountIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;15920;0,06281407;1,59E+07;1;2;1,333333333;0;3;7;5,333333333;0,002;15;34;23,66666667;0,008;89;5436;5439;5438;0;5436;5439;5438;0;;;;;;;;;;;;
orientdb;2.ProbingNodeCountIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;17144;0,058329445;1,71E+07;1;1;1;0;3;7;5,333333333;0,002;15;33;23,33333333;0,007;76;3546;3547;3547;0;3546;3547;3547;0;;;;;;;;;;;;
orientdb;2.ProbingNodeCountIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;12245;816,6598612;1291776;1;1;1;0;3;7;5,333333333;0,002;17;162;87,33333333;0,059;97;33;243071;453,6909395;6,467;33;191487;478,9012;6,651;34;243071;434,7813531;6,326;;;;;;;;
orientdb;2.ProbingNodeCountIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;12055;829,5313148;1194496;1;1;1;0;3;7;5,333333333;0,002;17;105;47,33333333;0,041;76;33;252671;451,4469398;6,934;33;252671;409,239;6,345;35;246655;483,1060606;7,345;;;;;;;;
orientdb;2.ProbingNodeCountIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;10610;942,5070688;1164800;2;2;2;0;3;7;5,333333333;0,002;17;103;48;0,039;128;31;248063;389,6008915;6,038;31;192255;323,0572;5,038;32;248063;439,5136514;6,69;;;;;;;;
sparksee;2.ProbingNodeCountIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;752;1,329787234;258112;1;1;1;0;2;3;2,5;0,001;10;15;12,5;0,003;427136;939;939;939;0;939;939;939;0;;;;;;;;;;;;
sparksee;2.ProbingNodeCountIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;545;1,834862385;303232;1;1;1;0;2;3;2,5;0,001;10;15;12,5;0,003;170816;952;952;952;0;952;952;952;0;;;;;;;;;;;;
sparksee;2.ProbingNodeCountIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;731;1,367989056;459904;1;1;1;0;2;3;2,5;0,001;10;15;12,5;0,003;200000;967;967;967;0;967;967;967;0;;;;;;;;;;;;
sparksee;2.ProbingNodeCountIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;2285;4376,367615;319616;1;1;1;0;2;3;2,5;0,001;12;59;35,5;0,024;321408;37;1160;56,25355735;0,018;37;1160;45,902;0,015;53;1017;64,0180018;0,017;;;;;;;;
sparksee;2.ProbingNodeCountIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;2508;3987,240829;359040;1;1;1;0;2;3;2,5;0,001;12;58;35;0,023;502144;38;1194;56,4709412;0,021;38;1194;46,3556;0,021;53;1061;64,05820582;0,018;;;;;;;;
sparksee;2.ProbingNodeCountIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;2390;4184,100418;427392;2;2;2;0;2;3;2,5;0,001;12;56;34;0,022;335488;37;1625;55,5397737;0,024;37;1243;45,3598;0,017;52;1625;63,17551755;0,026;;;;;;;;
apachejena;2.ProbingNodeCountIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;2071;0,482858522;1740288;2;2;2;0;2;3;2,5;0,001;11;59;35;0,024;213440;93056;93119;93088;0;93056;93119;93088;0;;;;;;;;;;;;
apachejena;2.ProbingNodeCountIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;1575;0,634920635;1314304;2;2;2;0;2;3;2,5;0,001;11;59;35;0,024;146240;88320;88383;88352;0;88320;88383;88352;0;;;;;;;;;;;;
apachejena;2.ProbingNodeCountIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;2194;0,455788514;1842688;1;1;1;0;2;3;2,5;0,001;11;59;35;0,024;235968;89472;89535;89504;0;89472;89535;89504;0;;;;;;;;;;;;
apachejena;2.ProbingNodeCountIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;;;;;;;0;;;;0;;;;0,03;;;;;64,672;;;;64,302;;;;64,947;;;;;;;;
apachejena;2.ProbingNodeCountIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;2997256;3,336385013;437888;1;2;1,189368771;0;2;3;2,996677741;0;15;193;81,95016611;0,047;154944;54656;933375;128380,7811;73,126;54656;756735;127709,4832;72,283;55168;933375;128884,3048;73,749;;;;;;;;
apachejena;2.ProbingNodeCountIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;FALSE;TRUE;3481739;2,87212798;449920;1;2;1,265714286;0;2;3;2,997142857;0;16;189;69,41142857;0,04;143168;55616;1266687;149143,64;101,178;55744;1266687;148540,016;101,535;55616;993791;149596,4032;100,907;;;;;;;;
neo4j;1.ProbingNodeCountIndex1000Nodes;load;1;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;5824;0,171703297;3562496;1;1;1;0;3;3;3;0;12;33;22,5;0,011;1644032;598016;598527;598272;0;598016;598527;598272;0;;;;;;;;;;;;
neo4j;1.ProbingNodeCountIndex1000Nodes;load;2;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;6017;0,166195779;3243008;2;2;2;0;3;3;3;0;11;33;22;0,011;2163712;592896;593407;593152;0;592896;593407;593152;0;;;;;;;;;;;;
neo4j;1.ProbingNodeCountIndex1000Nodes;load;3;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;6314;0,158378207;3587072;2;2;2;0;3;3;3;0;12;33;22,5;0,011;2072064;636416;636927;636672;0;636416;636927;636672;0;;;;;;;;;;;;
neo4j;1.ProbingNodeCountIndex1000Nodes;run;1;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;208505;4,796048056;1790464;1;2;1,454545455;0;3;11;9,636363636;0,002;15;103;60;0,026;5007360;55168;544255;86362,93654;35,766;55168;544255;84616,208;39,031;59168;481279;87674,29429;33,044;;;;;;;;
neo4j;1.ProbingNodeCountIndex1000Nodes;run;2;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;206337;4,846440532;1794560;2;2;2;0;3;11;9,636363636;0,002;15;112;56,22727273;0,027;5052416;55328;526847;85413,56432;31,746;55328;371711;84123,344;32,015;58624;526847;86382,1982;31,508;;;;;;;;
neo4j;1.ProbingNodeCountIndex1000Nodes;run;3;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;214424;4,663657053;1587712;1;2;1,652173913;0;3;11;9,52173913;0,002;16;113;56,86956522;0,03;4950016;55424;517375;89018,28473;43,222;55424;507647;86129,888;44,662;57568;517375;91186,75075;41,978;;;;;;;;
orientdb;1.ProbingNodeCountIndex1000Nodes;load;1;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;15491;0,064553612;1,55E+07;1;1;1;0;3;7;5,333333333;0,002;15;34;24;0,008;67;4022;4023;4023;0;4022;4023;4023;0;;;;;;;;;;;;
orientdb;1.ProbingNodeCountIndex1000Nodes;load;2;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;16732;0,059765718;1,67E+07;2;2;2;0;3;7;5,333333333;0,002;15;35;24;0,008;71;3624;3625;3625;0;3624;3625;3625;0;;;;;;;;;;;;
orientdb;1.ProbingNodeCountIndex1000Nodes;load;3;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;16299;0,061353457;1,63E+07;1;2;1,666666667;0;3;7;5,333333333;0,002;15;34;23,66666667;0,008;72;3548;3549;3549;0;3548;3549;3549;0;;;;;;;;;;;;
orientdb;1.ProbingNodeCountIndex1000Nodes;run;1;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;3853;259,5380223;1160704;1;2;1,5;0,001;3;6;4,5;0,002;16;16;16;0;64;70;161535;1100,89494;8,957;70;144127;1042,082;9,037;76;161535;1145,048799;8,895;;;;;;;;
orientdb;1.ProbingNodeCountIndex1000Nodes;run;2;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;4157;240,5580948;1275392;2;2;2;0;3;6;4,5;0,002;14;16;15;0,001;73;67;214271;1180,471269;10,041;67;214271;1363,248;;74;162943;1043,251502;8,497;;;;;;;;
orientdb;1.ProbingNodeCountIndex1000Nodes;run;3;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;3988;250,7522568;1277440;2;2;2;0;3;6;4,5;0,002;14;16;15;0,001;90;78;137471;1111,920669;8,956;78;137471;1218,013;9,536;84;134143;1032,271772;8,493;;;;;;;;
sparksee;1.ProbingNodeCountIndex1000Nodes;load;1;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;691;1,447178003;415104;1;1;1;0;2;3;2,5;0,001;10;15;12,5;0,003;207680;925;925;925;0;925;925;925;0;;;;;;;;;;;;
sparksee;1.ProbingNodeCountIndex1000Nodes;load;2;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;692;1,445086705;360064;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;265088;950;950;950;0;950;950;950;0;;;;;;;;;;;;
sparksee;1.ProbingNodeCountIndex1000Nodes;load;3;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;743;1,34589502;330112;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;346752;967;967;967;0;967;967;967;0;;;;;;;;;;;;
sparksee;1.ProbingNodeCountIndex1000Nodes;run;1;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;925;1081,081081;232128;1;1;1;0;2;3;2,5;0,001;12;31;21,5;0,01;408192;41;1329;72,85763293;0,039;41;1329;61,179;0,044;56;972;81,62537538;0,033;;;;;;;;
sparksee;1.ProbingNodeCountIndex1000Nodes;run;2;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;876;1141,552511;294528;1;1;1;0;2;3;2,5;0,001;12;31;21,5;0,01;330368;41;1275;63,01929674;0,036;41;1138;52,943;0,036;56;1275;70,58408408;0,034;;;;;;;;
sparksee;1.ProbingNodeCountIndex1000Nodes;run;3;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;685;1459,854015;254784;1;1;1;0;2;3;2,5;0,001;12;31;21,5;0,01;180672;41;1502;62,67795883;0,037;41;878;52,808;0,027;57;1502;70,08783784;0,041;;;;;;;;
apachejena;1.ProbingNodeCountIndex1000Nodes;load;1;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;2141;0,467071462;1605120;2;2;2;0;2;3;2,5;0,001;11;59;35;0,024;329088;184704;184831;184768;0;184704;184831;184768;0;;;;;;;;;;;;
apachejena;1.ProbingNodeCountIndex1000Nodes;load;2;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;2412;0,414593698;1896960;1;1;1;0;2;3;2,5;0,001;11;59;35;0,024;240960;249344;249471;249408;0;249344;249471;249408;0;;;;;;;;;;;;
apachejena;1.ProbingNodeCountIndex1000Nodes;load;3;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;2216;0,451263538;1804800;1;1;1;0;2;3;2,5;0,001;11;59;35;0,024;237120;149760;149887;149824;0;149760;149887;149824;0;;;;;;;;;;;;
apachejena;1.ProbingNodeCountIndex1000Nodes;run;1;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;257375;3,885381253;440704;1;2;1,074074074;0;2;3;2,962962963;0;15;75;42,96296296;0,017;8054;59552;502015;110056,837;53,313;60416;458495;110151,84;54,237;59552;502015;109985,5135;52,608;;;;;;;;
apachejena;1.ProbingNodeCountIndex1000Nodes;run;2;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;257693;3,880586589;447872;1;2;1,481481481;0;2;3;2,962962963;0;15;75;41,85185185;0,017;15284;60576;569855;110194,2093;54,015;60576;449023;108340,368;51,669;60832;569855;111585,982;55,672;;;;;;;;
apachejena;1.ProbingNodeCountIndex1000Nodes;run;3;1;1000;1;1;1;10;1;0;;0;FALSE;TRUE;277034;3,60966524;444032;1;1;1;0;2;3;2,965517241;0;15;75;46,10344828;0,017;14700;56512;711167;118483,0943;69,605;56512;710655;116938,384;66,43;57792;711167;119642,7868;71,874;;;;;;;;
orientdb;3.ProbingNodeCountIndex100000Nodes;load;1;1;100000;1;1;1;10;1;0;;0;FALSE;TRUE;13970;0,071581961;1,39E+07;1;1;1;0;3;7;5,333333333;0,002;15;34;25;0,008;95;3514;3515;3515;0;3514;3515;3515;0;;;;;;;;;;;;
orientdb;3.ProbingNodeCountIndex100000Nodes;load;2;1;100000;1;1;1;10;1;0;;0;FALSE;TRUE;17587;0,056860181;1,76E+07;1;1;1;0;3;7;5,333333333;0,002;15;36;24,33333333;0,009;86;4716;4719;4718;0;4716;4719;4718;0;;;;;;;;;;;;
orientdb;3.ProbingNodeCountIndex100000Nodes;load;3;1;100000;1;1;1;10;1;0;;0;FALSE;TRUE;16995;0,058840836;1,70E+07;2;2;2;0;3;7;5,333333333;0,002;15;35;24,33333333;0,008;96;3738;3739;3739;0;3738;3739;3739;0;;;;;;;;;;;;
orientdb;3.ProbingNodeCountIndex100000Nodes;run;1;1;100000;1;1;1;10;1;0;;0;FALSE;TRUE;39026;2562,394301;1229312;1;1;1;0;3;7;6;0,002;23;604;227,6;0,199;88;32;788479;154,2754187;5,433;32;603135;132,67625;4,852;33;788479;170,4749572;5,831;;;;;;;;
orientdb;3.ProbingNodeCountIndex100000Nodes;run;2;1;100000;1;1;1;10;1;0;;0;FALSE;TRUE;46871;2133,515393;1330688;1;2;1,833333333;0;3;7;6,166666667;0,001;23;240;150,6666667;0,085;70;32;599551;187,2815559;5,718;32;590847;147,04599;5,091;33;599551;217,4585321;6,146;;;;;;;;
orientdb;3.ProbingNodeCountIndex100000Nodes;run;3;1;100000;1;1;1;10;1;0;;0;FALSE;TRUE;46723;2140,273527;1251840;2;2;2;0;3;7;6,166666667;0,001;23;464;214,3333333;0,158;73;31;788479;187,2922402;5,92;31;788479;158,94388;5,476;32;529407;208,553723;6,232;;;;;;;;
sparksee;3.ProbingNodeCountIndex100000Nodes;load;1;1;100000;1;1;1;10;1;0;;0;FALSE;TRUE;959;1,042752868;455296;2;2;2;0;2;3;2,5;0,001;10;14;12;0,002;436096;915;915;915;0;915;915;915;0;;;;;;;;;;;;
sparksee;3.ProbingNodeCountIndex100000Nodes;load;2;1;100000;1;1;1;10;1;0;;0;FALSE;TRUE;1134;0,881834215;666880;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;398976;953;953;953;0;953;953;953;0;;;;;;;;;;;;
sparksee;3.ProbingNodeCountIndex100000Nodes;load;3;1;100000;1;1;1;10;1;0;;0;FALSE;TRUE;935;1,069518717;592640;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;276096;977;977;977;0;977;977;977;0;;;;;;;;;;;;
sparksee;3.ProbingNodeCountIndex100000Nodes;run;1;1;100000;1;1;1;10;1;0;;0;FALSE;TRUE;17820;5611,672278;271488;1;2;1,333333333;0;2;3;2,666666667;0;18;302;163,6666667;0,116;1295872;38;6383;60,91397665;0,022;38;1746;48,71156;0,011;53;6383;70,06588066;0,023;;;;;;;;
sparksee;3.ProbingNodeCountIndex100000Nodes;run;2;1;100000;1;1;1;10;1;0;;0;FALSE;TRUE;17741;5636,660842;263040;1;1;1;0;2;3;2,666666667;0;18;303;164,3333333;0,116;1249792;38;13679;60,8825879;0,035;38;13679;48,54463;0,045;53;5427;70,13614886;0,022;;;;;;;;
